TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"Moon by Ai Weiwei & Olafur Eliasson";"Turn nothing into something – make a drawing, ma";"";09-07-2015 09:55:26;20-11-2017 15:10:56
"MotaWord";"Use MotaWord API to post and track your translatio";"";20-10-2015 18:10:11;03-10-2017 18:39:36
"kinto";"";"";18-04-2017 11:07:00;19-02-2018 08:08:39
"Native Ads Publisher";"This is a Native Ads Publisher API it provides sam";"";22-09-2015 16:21:28;16-10-2017 11:19:49
"Advicent.FactFinderService";"An API for accessing the Narrator Fact Finder.";"";26-11-2017 17:48:36;11-12-2017 13:15:36
"Published Plan Service";"An API for accessing NaviPlan plan data for a clie";"";26-11-2017 17:48:36;11-12-2017 13:15:36
"NBA Stats";"The destination for current and historic NBA stati";"";26-04-2017 10:32:14;10-07-2017 15:08:59
"NeoWs - (Near Earth Object Web Service)";"A web service for near earth objects. All the data";"";07-09-2015 18:18:34;20-11-2017 15:10:56
"Netatmo";"<h3>Welcome to the Netatmo swagger on-line documen";"Netatmo";31-05-2016 00:33:40;20-09-2017 08:20:19
"Labs64 NetLicensing RESTful API Test Center";"The Labs64 <a href='https://www.labs64.de/confluen";"";22-09-2015 16:21:28;16-10-2017 11:20:39
"Netlify's API definition";"";"";30-09-2016 18:12:53;22-02-2018 19:22:46
"NeutrinoAPI";"The general-purpose API";"Neutrino API";13-04-2017 09:20:16;04-01-2018 14:42:04
"nFusion Solutions Market Data API v1";"nFusion Solutions provides REST and streaming APIs";"nFusion Solutions";13-11-2017 11:43:08;22-01-2018 15:44:32
"NPR One API Reference";"NPR One is a smart application that brings the bes";"NPR One Enterprise Team";04-09-2017 15:32:00;19-02-2018 08:08:39
"High Performance Building Database";"The Buildings Database is a shared resource for th";"";21-09-2015 15:57:40;27-01-2018 12:11:20
"Transportation Laws and Incentives";"Query our database of State and Federal Laws and I";"";14-07-2015 11:50:33;27-01-2018 12:11:20
"NSIDC Web Service Documentation Index";"This API allows programmers to build National Snow";"";14-07-2015 11:50:33;20-11-2017 15:10:56
"Archive";"The Archive API provides lists of NYT articles by ";"";25-11-2017 11:10:42;18-12-2017 08:36:39
"Article Search";"With the Article Search API, you can search New Yo";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"Books";"The Books API provides information about book revi";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"Community";"Get access to comments from registered users on Ne";"";02-09-2016 10:48:54;27-06-2017 16:49:57
"Geographic";"The Geographic API extends the Semantic API, using";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"Most Popular";"Get lists of NYT Articles based on shares, emails,";"";20-10-2016 16:26:05;04-04-2017 17:27:32
"Movie Reviews";"With the Movie Reviews API, you can search New Yor";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"Semantic";"The Semantic API complements the Articles API. Wit";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"TimesTags";"With the TimesTags API, you can mine the riches of";"";02-09-2016 10:48:54;30-10-2017 21:46:24
"Times Newswire";"With the Times Newswire API, you can get links and";"";02-09-2016 10:48:54;19-02-2018 08:08:39
"Top Stories";"The Top Stories API provides lists of articles and";"";02-09-2016 10:48:54;04-04-2017 17:27:32
"Mobility";"Transit API can be used to obtain time-aggregated ";"libertyapi@o2.cz";15-08-2017 08:06:40;15-08-2017 08:06:40
"Socio-demo";"Socio-demo API can be used to obtain time-aggregat";"libertyapi@o2.cz";15-08-2017 08:06:40;15-08-2017 08:06:40
"ODWeather";"This is the api to access the ODWeather API inform";"";19-09-2015 02:16:17;20-11-2017 15:10:56
"OMDb";"The Open Movie Database. The OMDb API is a free we";"Open Movie Database";14-07-2016 13:26:47;04-04-2017 17:27:32
"Swagger2OpenAPI Converter";"Converter and validator for Swagger 2.0 to OpenAPI";"Mike Ralphson";22-03-2017 09:54:54;30-10-2017 21:46:24
"Open Data";"Latest Swagger specification for OpenData";"";01-08-2017 17:06:31;30-08-2017 18:34:23
"OpenCage Geocoder";"Worldwide forward and reverse geocoding";"OpenCage Data Ltd";31-05-2016 10:55:27;30-05-2017 13:23:20
"opendatasoft";"";"";26-11-2017 17:08:21;27-11-2017 12:59:09
"OpenFinTech.io";"# Introduction
[OpenFinTech.io](https://openfintec";"";20-09-2017 13:52:55;11-02-2018 11:07:43
"Open Targets Platform";"### The Open Targets Platform REST API

The Open T";"Open Targets Platform team";08-02-2018 09:18:50;20-02-2018 08:55:53
"OrgHunter";"Get the latest IRS data and most up to date charit";"";07-09-2015 18:18:34;11-04-2017 19:58:07
"OSF APIv2 Documentation";"## https://api.osf.io/v2/";"OSF";26-11-2017 17:01:19;19-02-2018 08:08:39
"PI Web API 2017 Swagger Spec";"Swagger Spec file that describes PI Web API";"OSIsoft, LLC.";04-09-2017 12:24:26;04-09-2017 12:24:26
"Owler";"Search for information on companies using a websit";"";21-06-2015 13:58:25;22-01-2018 15:44:32
"Oxford Dictionaries";"";"";30-10-2016 20:46:38;18-12-2017 07:27:05
"paccurate.io";"";"";26-11-2017 17:34:13;05-02-2018 08:23:20
"Pandorabots AIaaS";"AIaaS provides API access to our bot hosting platf";"";02-07-2015 14:21:19;20-11-2017 15:10:56
"PasswordUtility.Web";"Validate and generate passwords using open source ";"";22-09-2015 16:21:28;04-04-2017 17:27:32
"PatientView";"The recommended REST API endpoints to be used when";"";07-09-2015 18:18:34;20-11-2017 15:10:56
"Paylocity";"For general questions and support of the API, cont";"";27-11-2017 10:57:16;27-11-2017 10:57:16
"GOV.UK Pay Api";"GOV.UK Pay Api";"";23-02-2018 08:31:20;23-02-2018 08:31:20
"PayRun.IO";"Open, scableable, transparent payroll API.";"";26-11-2017 15:09:17;19-02-2018 08:08:39
"Peel Tune-in API";"The machine learning service APIs utilize hashtags";"";16-06-2015 18:10:07;23-01-2018 07:44:16
"Authentication";"Personio Authentication API";"";23-02-2018 08:21:55;23-02-2018 08:21:55
"Personnel Data";"API for reading and writing personnel data incl. d";"";23-02-2018 08:21:55;23-02-2018 08:21:55
"Polling Places";"
This data set contains the list of polling places";"";24-02-2018 17:02:15;24-02-2018 17:02:15
"Polygon";"The future of fintech.";"";26-11-2017 16:58:20;27-11-2017 13:03:31
"Postmark Account-level";"Postmark makes sending and receiving email 
incred";"";09-08-2017 17:36:25;30-10-2017 21:46:24
"Postmark";"Postmark makes sending and receiving email
incredi";"";09-08-2017 17:36:25;30-10-2017 21:46:24
"posty_API";"The posty_API is the core element of the posty sof";"";16-07-2015 21:11:55;20-11-2017 15:10:56
"PTV Timetable API - Version 3";"The PTV Timetable API provides direct access to Pu";"Public Transport Victoria";11-08-2017 08:23:28;23-10-2017 13:10:35
"Qualpay Payment Gateway";"This document describes the Qualpay Payment Gatewa";"";11-12-2017 13:15:36;29-01-2018 10:51:01
"Request Baskets";"RESTful API of [Request Baskets](https://rbaskets.";"darklynx";08-04-2016 15:45:42;16-10-2017 11:24:38
"Rebilly";"# Introduction
The Rebilly API is built on HTTP.  ";"Rebilly API Support";07-07-2016 10:27:47;19-02-2018 08:08:39
"Receptive";"## Who is this for?

This documentation is for dev";"Receptive Support";28-02-2018 22:02:25;28-02-2018 22:02:25
"Refuge Restrooms";"REFUGE is a web application that seeks to provide ";"";12-11-2015 00:50:18;20-11-2017 15:10:56
"reverb";"reverb";"Reverb API";10-11-2015 23:56:38;19-02-2018 08:08:39
"Ritc";"Rules in the Cloud";"";20-03-2017 21:37:42;04-04-2017 17:27:32
"RiteKit";"RiteKit API is based on REST principles.

Authenti";"";05-09-2017 12:17:33;19-02-2018 08:08:39
"CompanyAPI";"";"";27-11-2017 10:57:48;27-11-2017 10:57:48
"Rotten Tomatoes";"Test our API services using I/O Docs.";"Mike Ralphson";23-10-2016 14:41:11;27-06-2017 09:18:15
"Seldon";"Seldon is an Open Predictive Platform that current";"";12-06-2015 14:36:17;04-04-2017 17:27:32
"Runscope";"Manage Runscope programmatically.";"";08-05-2017 16:28:49;20-09-2017 08:20:19
"SalesLoft Platform";"SalesLoft helps transform sales teams into modern ";"";25-11-2017 12:50:21;05-02-2018 08:23:20
"SchoolDigger API V1";"Get detailed data on over 120,000 schools and 18,5";"SchoolDigger";26-02-2017 18:33:44;04-01-2018 14:42:04
"Scrape Website Email API";"ScrapeWebsiteEmail is a service that exposes an ap";"";02-07-2015 13:30:48;20-11-2017 15:10:56
"SelectPdf HTML To PDF";"SelectPdf HTML To PDF Online REST API is a profess";"SelectPdf HTML To PDF API";19-10-2017 08:08:12;19-10-2017 08:08:12
"Semantria";"Semantria applies Text and Sentiment Analysis to t";"";09-11-2015 23:23:31;22-01-2018 15:44:32
"SendGrid v3";"# The SendGrid Web API V3 Documentation

This is t";"";23-03-2016 17:32:40;05-07-2017 12:57:32
"ShipStation Developer Portal";"# Integrating with ShipStation

ShipStation strive";"";28-09-2017 12:50:00;19-02-2018 08:08:39
"SimplyRETS";"The SimplyRETS API is an exciting step towards mak";"";11-11-2015 23:36:53;22-01-2018 15:44:32
"Slack";"One way to interact with the Slack platform is its";"";05-12-2015 06:21:58;18-12-2017 07:27:05
"SlideRoom API V2";"SlideRoom provides a RESTful API for exporting dat";"";13-06-2015 00:30:21;04-04-2017 17:27:32
"smart-me";"With the smart-me REST API you get Access to all y";"";24-09-2015 14:03:16;22-01-2018 15:44:32
"Solar VPS";"This is the Solar VPS Public API. You can find mor";"";19-07-2015 21:19:14;04-04-2017 17:27:32
"SpectroCoin Merchant";"This is an API designed for merchants who are usin";"info@spectrocoin.com";16-06-2015 18:11:52;04-04-2017 17:27:32
"Article Rewriter and Article Extractor";"Spinbot.net propose a new solution based on high t";"Hieu Nguyen";22-11-2017 17:18:15;22-11-2017 17:18:15
"Spinitron v2";"Maximum limit is 200. Default limit is 20.";"";22-02-2018 19:42:40;22-02-2018 19:42:40
"Spotify";"";"";29-10-2015 01:09:44;25-11-2017 13:11:26
"Square Connect";"Client library for accessing the Square Connect AP";"Square Developer Platform";27-11-2016 23:01:46;21-08-2017 08:17:21
"StackExchange";"Stack Exchange is a network of 130+ Q&A communitie";"";29-12-2015 20:33:43;04-04-2017 17:27:32
"api.ecota.co v2";"The API ecotaco allows you to connect, create an a";"";28-09-2017 23:20:07;18-12-2017 08:20:02
"StatSocial Platform";"API Reference: <br><br> The StatSocial API is orga";"";22-10-2015 19:48:00;04-04-2017 17:27:32
"Storecove";"Storecove API";"";15-08-2017 11:43:15;19-02-2018 08:08:39
"Stripe";"The Stripe REST API. Please see https://stripe.com";"Stripe Dev Platform Team";14-11-2017 11:01:43;19-02-2018 08:08:39
"City of Surrey Open511";"This API provides real time traffic obstruction ev";"City of Surrey GIS Section";24-02-2018 17:20:15;24-02-2018 17:20:15
"City of Surrey Traffic Loop Count API.";"This API provides locations of City of Surrey traf";"City of Surrey GIS Section";24-02-2018 17:20:15;24-02-2018 17:20:15
"Swagger Generator";"This is an online swagger codegen server.  You can";"apiteam@swagger.io";23-10-2016 15:32:30;05-02-2018 07:13:13
"SwaggerHub Registry";"# Introduction
This is the registry API for Swagge";"SwaggerHub";13-06-2017 12:09:47;13-06-2017 12:09:47
"SYNQ Video";"* [Sign up for a developer API key!](https://www.s";"";30-05-2017 10:32:09;10-08-2017 20:49:32
"taggun.io";"Expects only running software, real reactions, and";"CK Lee";26-11-2017 17:08:35;19-02-2018 08:08:39
"Taxamo";"Taxamo’s elegant suite of APIs and comprehensive";"";16-07-2015 21:11:55;04-04-2017 17:27:32
"Taxrates.io";"Taxrates.io API - the successfully streamlined tax";"apiteam@taxrates.io";24-10-2017 09:11:12;24-10-2017 09:11:12
"Transport for London Unified";"Our unified API brings together data across all mo";"";29-04-2017 10:49:26;19-02-2018 08:08:39
"The Noun Project";"Icons for Everything";"";16-11-2015 21:26:35;20-11-2017 15:10:56
"The SMS Works";"The SMS Works provides a low-cost, reliable SMS AP";"";15-12-2017 11:03:17;19-02-2018 08:08:39
"TheTVDB API v2";"API v2 targets v1 functionality with a few minor a";"";09-11-2015 22:55:27;05-02-2018 07:13:13
"traccar";"Open Source GPS Tracking Platform";"";11-12-2017 13:15:36;11-12-2017 13:15:36
"Airports API v2";"Returns all airports";"";27-11-2017 10:58:06;27-11-2017 10:58:06
"Trello";"This document describes the REST API of Trello as ";"Trello";16-11-2015 22:58:04;04-04-2017 17:27:32
"Turbine Labs";"Turbine Labs Public REST API";"";22-02-2018 18:44:06;22-02-2018 18:44:06
"TVmaze user";"Access to the user API is only possible for users ";"";10-08-2017 07:03:11;10-08-2017 07:03:11
"Twilio";"Enabling phones, VoIP, and messaging to be embedde";"";07-12-2015 18:27:02;04-04-2017 17:27:32
"Twine";"# Overview
The Twine Health API is RESTful API. Th";"";06-09-2017 13:13:01;19-02-2018 08:08:39
"Twitter";"";"Twitter support";14-11-2017 12:09:34;20-11-2017 15:10:56
"uebermaps API endpoints";"Enable people to store spots on public and private";"uebermaps API Team";20-01-2017 22:04:27;27-06-2017 16:49:57
"VAT API";"A developer friendly API to help your business ach";"";18-06-2015 13:16:10;20-11-2017 15:10:56
"Available API endpoints";"VersionEye is a cross-platform search engine for f";"";06-03-2016 21:47:05;23-10-2017 13:10:35
"Vestorly";"Vestorly Developers API";"Vestorly Team";22-10-2015 19:48:00;27-06-2017 16:49:57
"VictorOps";"This API allows you to interact with the VictorOps";"";13-06-2017 10:07:43;05-02-2018 08:23:20
"VisageCloud";"Face search, recognition & classification API. Jus";"VisageCloud";26-02-2017 17:03:31;22-01-2018 15:44:32
"VocaDB";"";"";26-11-2017 17:10:51;19-02-2018 08:08:39
"Voodoo Manufacturing 3D Print";"Welcome to the Voodoo Manufacturing API docs!

You";"";27-11-2017 10:58:20;29-01-2018 10:51:01
"CitySDK Linked Data";"An API for the distribution and annotation of open";"";14-07-2015 11:50:33;20-11-2017 15:10:56
"watchful.li";"";"";09-11-2015 22:55:27;20-11-2017 15:10:56
"Wavecell.Sms.Api";"This API allows Wavecell customers to originate re";"Wavecell Dev team";26-11-2016 22:03:03;30-05-2017 13:23:20
"Wealthport API";"Onedot provides a simple, lightweight and open Web";"";30-05-2017 10:41:01;05-02-2018 08:23:20
"Weatherbit.io - Weather";"This is the documentation for the Weatherbit API. ";"";25-11-2017 11:22:43;25-11-2017 11:22:43
"Accounts";"The Accounts API is a collection of methods used t";"William Hill Labs";26-11-2017 16:51:11;17-01-2018 08:35:04
"Bets";"The Bets API methods are used to place single, mul";"William Hill Labs";26-11-2017 16:51:11;17-01-2018 08:35:04
"Locations";"The Locations API is a collection of methods that ";"";26-11-2017 16:51:11;17-01-2018 08:35:04
"Numbers";"The William Hill Numbers API uses a single method ";"";26-11-2017 16:51:11;17-01-2018 08:35:04
"Sessions";"The William Hill Sessions API uses a central authe";"William Hill Labs";26-11-2017 16:51:11;19-02-2018 08:08:39
"SportsData";"The William Hill SportsData REST API is a collecti";"William Hill Labs";26-11-2017 16:51:11;17-01-2018 08:35:04
"Who Hosts This";"Hosting provider discover";"Who Hosts This";25-02-2018 19:27:27;25-02-2018 19:27:27
"Wikimedia";"This API provides cacheable and straightforward ac";"the Wikimedia Services team";14-12-2015 18:53:29;05-02-2018 07:13:13
"BatchService";"A client for issuing REST requests to the Azure Ba";"";10-04-2016 23:18:20;19-02-2018 08:41:37
"GraphRbacManagementClient";"The Graph RBAC Management Client";"";29-06-2016 10:28:32;19-02-2018 08:41:37
"Winning Email";"The Winning Email API allows you to access our ser";"";22-09-2015 16:21:28;04-04-2017 17:27:32
"Real-Time Bus Predictions";"Real-time bus prediction methods.";"";12-08-2017 17:06:43;20-09-2017 08:20:19
"Bus Route and Stop Methods";"Bus stop information, route and schedule data, and";"";12-08-2017 17:06:43;19-02-2018 08:08:39
"Incidents";"Rail, bus, and elevator disruptions/outages.";"";12-08-2017 17:06:43;20-09-2017 08:20:19
"Real-Time Rail Predictions";"Real-time rail prediction methods.";"";12-08-2017 17:06:43;20-09-2017 08:20:19
"Rail Station Information";"Rail line and station information, including locat";"";12-08-2017 17:06:43;05-02-2018 08:23:20
"Word Associations";"The Word Associations Network API allows developer";"";08-01-2018 11:33:39;08-01-2018 11:33:39
"Wordnik";"Wordnik is the world's biggest online English dict";"";22-12-2015 17:23:32;20-11-2017 15:10:56
"Wowza Streaming Cloud REST API Reference Documentation";"
# About the REST API

The Wowza Streaming Cloud<s";"Contact Us";25-11-2017 12:39:25;25-11-2017 12:39:25
"Transform";"This API provides XML to JSON, JSON to XML transfo";"";27-11-2017 08:50:06;27-11-2017 08:50:06
"Accounting";"# Introduction
The Xero Accounting API is a RESTfu";"Xero Developer Team";09-12-2017 14:21:17;11-12-2017 13:15:36
"XKCD";"Webcomic of romance, sarcasm, math, and language.";"";26-11-2015 00:19:00;04-04-2017 17:27:32
"Yunbi";"Professional Cloud Trading Platform for Digital As";"";16-07-2015 21:11:55;21-08-2017 08:17:21
"Zalando Shop";"The shop API empowers developers to build amazing ";"";04-09-2017 15:05:43;04-09-2017 15:05:43
"Zappiti Player";"Move your app forward with the Zappiti Player API.";"";24-03-2017 15:09:24;03-10-2017 18:45:03
"Zoom";"API Description";"Zoom Developers";02-02-2018 13:43:28;05-02-2018 08:23:20
"Zoom Connect";"The world's greatest SMS API";"";23-08-2015 20:35:00;22-01-2018 15:44:32
"Zuora API Reference";"

# Introduction
Welcome to the reference for the ";"";11-12-2017 13:15:36;11-12-2017 13:57:27
